--- Starting Data Preparation ---
Quickly scanning file to count rows...
File has 2357649 rows. Loading a random sample of 500000 rows.
Dataset loaded. Final shape: (500000, 9)
Dataset Columns: Index(['original_dataset', 'fwd_iat_mean', 'fwd_iat_std', 'bwd_iat_mean',
       'protocol', 'attack_category', 'duration', 'is_attack', 'bwd_iat_std'],
      dtype='object')
Features and labels extracted.
Data split into training and testing sets.
X_train shape: (400000, 5)
X_test shape: (100000, 5)
Features scaled.
Labels transformed.
Data preparation complete. Time elapsed: 4.26 seconds.

--- Starting Quantum Setup ---
Initializing lightning.qubit device with 5 qubits for multi-core performance.
Quantum device initialized.

--- Initializing Training ---
Training for 1 epoch (4000 iterations for a training set of size 400000).
Validation set created with 500 data points.

Class weights computed for handling imbalance: {tensor(-1, requires_grad=False): np.float64(0.703356063456784), tensor(1, requires_grad=False): np.float64(1.729370768445901)}
Parameters initialized. Starting training for 4000 iterations with batch size 100.
Iter:  2100 | Batch Cost: 0.9293235 | Batch Acc: 0.4500000
Iter:  2110 | Batch Cost: 0.8395989 | Batch Acc: 0.7900000
Iter:  2120 | Batch Cost: 1.0630507 | Batch Acc: 0.4000000
Iter:  2130 | Batch Cost: 0.8601894 | Batch Acc: 0.6900000
Iter:  2140 | Batch Cost: 0.9931396 | Batch Acc: 0.7200000
Iter:  2150 | Batch Cost: 1.0410166 | Batch Acc: 0.4200000
Iter:  2160 | Batch Cost: 0.9309560 | Batch Acc: 0.4200000
Iter:  2170 | Batch Cost: 1.0528566 | Batch Acc: 0.4200000
Iter:  2180 | Batch Cost: 0.8579535 | Batch Acc: 0.7200000
Iter:  2190 | Batch Cost: 0.9463454 | Batch Acc: 0.4500000
Iter:  2200 | Batch Cost: 0.9740257 | Batch Acc: 0.4900000
Iter:  2210 | Batch Cost: 1.0756940 | Batch Acc: 0.3400000
Iter:  2220 | Batch Cost: 0.9500333 | Batch Acc: 0.5000000
Iter:  2230 | Batch Cost: 0.9370184 | Batch Acc: 0.4500000
Iter:  2240 | Batch Cost: 1.0183081 | Batch Acc: 0.3900000
Iter:  2250 | Batch Cost: 1.0095151 | Batch Acc: 0.3500000
Iter:  2260 | Batch Cost: 0.9332492 | Batch Acc: 0.4200000
Iter:  2270 | Batch Cost: 1.1285896 | Batch Acc: 0.3800000
Iter:  2280 | Batch Cost: 0.8887889 | Batch Acc: 0.7500000
Iter:  2290 | Batch Cost: 0.9329063 | Batch Acc: 0.4600000
Iter:  2300 | Batch Cost: 1.0101295 | Batch Acc: 0.3600000
Iter:  2310 | Batch Cost: 0.8681450 | Batch Acc: 0.7100000
Iter:  2320 | Batch Cost: 0.9805282 | Batch Acc: 0.4500000
Iter:  2330 | Batch Cost: 0.8841098 | Batch Acc: 0.4200000
Iter:  2340 | Batch Cost: 0.8495827 | Batch Acc: 0.7700000
Iter:  2350 | Batch Cost: 0.9867800 | Batch Acc: 0.3700000
Iter:  2360 | Batch Cost: 1.0289228 | Batch Acc: 0.4600000
Iter:  2370 | Batch Cost: 0.9712401 | Batch Acc: 0.3500000
Iter:  2380 | Batch Cost: 0.9328857 | Batch Acc: 0.4600000
Iter:  2390 | Batch Cost: 0.9477903 | Batch Acc: 0.3600000
Iter:  2400 | Batch Cost: 1.0021506 | Batch Acc: 0.3700000
Iter:  2410 | Batch Cost: 0.9030153 | Batch Acc: 0.6700000
Iter:  2420 | Batch Cost: 0.9542575 | Batch Acc: 0.5000000
Iter:  2430 | Batch Cost: 0.9776133 | Batch Acc: 0.4800000
Iter:  2440 | Batch Cost: 0.9501178 | Batch Acc: 0.3800000
Iter:  2450 | Batch Cost: 0.8756103 | Batch Acc: 0.5200000
Iter:  2460 | Batch Cost: 1.0310471 | Batch Acc: 0.2900000
Iter:  2470 | Batch Cost: 0.9217276 | Batch Acc: 0.4000000
Iter:  2480 | Batch Cost: 0.8294079 | Batch Acc: 0.7300000
Iter:  2490 | Batch Cost: 1.0106218 | Batch Acc: 0.4100000
Iter:  2500 | Batch Cost: 0.9719927 | Batch Acc: 0.3700000
Iter:  2510 | Batch Cost: 0.9304204 | Batch Acc: 0.7000000
Iter:  2520 | Batch Cost: 0.9295737 | Batch Acc: 0.4700000
Iter:  2530 | Batch Cost: 0.8796945 | Batch Acc: 0.7600000
Iter:  2540 | Batch Cost: 0.9282035 | Batch Acc: 0.4300000
Iter:  2550 | Batch Cost: 1.0515199 | Batch Acc: 0.3600000
Iter:  2560 | Batch Cost: 0.8780147 | Batch Acc: 0.5200000
Iter:  2570 | Batch Cost: 1.0105799 | Batch Acc: 0.4400000
Iter:  2580 | Batch Cost: 0.8882117 | Batch Acc: 0.7400000
Iter:  2590 | Batch Cost: 1.1565755 | Batch Acc: 0.3600000
Iter:  2600 | Batch Cost: 0.9695921 | Batch Acc: 0.3700000
Iter:  2610 | Batch Cost: 0.9875860 | Batch Acc: 0.3200000
Iter:  2620 | Batch Cost: 1.0820039 | Batch Acc: 0.3900000
Iter:  2630 | Batch Cost: 1.0415224 | Batch Acc: 0.4400000
Iter:  2640 | Batch Cost: 0.8922546 | Batch Acc: 0.4600000
Iter:  2650 | Batch Cost: 1.0069481 | Batch Acc: 0.4000000
Iter:  2660 | Batch Cost: 0.8887865 | Batch Acc: 0.6800000
Iter:  2670 | Batch Cost: 1.0911503 | Batch Acc: 0.2600000
Iter:  2680 | Batch Cost: 0.9195900 | Batch Acc: 0.4900000
Iter:  2690 | Batch Cost: 1.0774533 | Batch Acc: 0.4600000
Iter:  2700 | Batch Cost: 0.7983558 | Batch Acc: 0.7400000
Iter:  2710 | Batch Cost: 1.0563854 | Batch Acc: 0.4600000
Iter:  2720 | Batch Cost: 0.9252449 | Batch Acc: 0.7400000
Iter:  2730 | Batch Cost: 1.0122855 | Batch Acc: 0.3900000
Iter:  2740 | Batch Cost: 1.0447624 | Batch Acc: 0.3800000
Iter:  2750 | Batch Cost: 0.9114793 | Batch Acc: 0.3900000
Iter:  2760 | Batch Cost: 1.0814302 | Batch Acc: 0.4200000
Iter:  2770 | Batch Cost: 0.9305542 | Batch Acc: 0.4000000
Iter:  2780 | Batch Cost: 1.0194675 | Batch Acc: 0.4000000
Iter:  2790 | Batch Cost: 0.8494148 | Batch Acc: 0.7400000
Iter:  2800 | Batch Cost: 1.0903904 | Batch Acc: 0.4100000
Iter:  2810 | Batch Cost: 0.8761912 | Batch Acc: 0.7400000
Iter:  2820 | Batch Cost: 1.0842797 | Batch Acc: 0.4500000
Iter:  2830 | Batch Cost: 0.9376783 | Batch Acc: 0.4400000
Iter:  2840 | Batch Cost: 0.9582226 | Batch Acc: 0.4100000
